charClass_pair	char_pairs	hypothetical_examples	isOK	cmnts
"w_isotope-s_atom_bar
r_isotope-s_atom_bar"	"0a
0a"	c1cc[13c]cc1	y	
"w_isotope-w_atom_bal
r_isotope-w_atom_bal
e_bm_ire-w_atom_oal
r_bm_ire-w_atom_oal
e_bm_tre-w_atom_oal
r_bm_tre-w_atom_oal
w_bm_iri-w_atom_oal
w_bm_iri-s_atom_oal
w_bm_tri-w_atom_oal
w_bm_tri-s_atom_oal
r_bm_iri-w_atom_oal
r_bm_tri-w_atom_oal
e_bm_ire-s_atom_oal
r_bm_ire-s_atom_oal
e_bm_tre-s_atom_oal
r_bm_tre-s_atom_oal
r_bm_iri-s_atom_oal
r_bm_tri-s_atom_oal"	"0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B
0B"	"c1cc[13c]cc1
C1CCC1C"	y	
"e_atom_bal-w_hydro
e_atom_bal-s_hydro"	"aH
aH"	[CH6]	y	
"e_atom_bar-w_hydro
e_atom_bar-s_hydro"	"eH
eH"	c1cc[seH2]cc1	y	
"r_chiral-w_hydro
r_chiral-s_hydro"	"0H
0H"	…	y	
"w_chiral-w_hydro
w_chiral-s_hydro
e_chiral-w_hydro
e_chiral-s_hydro"	"@H
@H
@H
@H"	…	y	
"e_atom_bal-w_charge
e_atom_bal-s_charge
e_atom_bal-s_charge_m"	"a-
a-
a-"	…	y	
"e_atom_bar-w_charge
e_atom_bar-s_charge
e_atom_bar-s_charge_m"	"e-
e-
e-"	…	y	
"r_chiral-w_charge
e_hydro-w_charge
w_bm_iri-s_bm_ire
w_bm_iri-s_bm_ire_4
w_bm_iri-s_bm_tre
w_bm_iri-s_bm_tre_4
w_bm_tri-s_bm_ire
w_bm_tri-s_bm_ire_4
w_bm_tri-s_bm_tre
w_bm_tri-s_bm_tre_4
r_chiral-s_charge
r_chiral-s_charge_m
e_hydro-s_charge
e_hydro-s_charge_m
r_charge-s_charge_m
e_bm_ire-s_bm_ire
e_bm_ire-s_bm_ire_4
e_bm_ire-s_bm_tre
e_bm_ire-s_bm_tre_4
r_bm_ire-s_bm_ire
r_bm_ire-s_bm_ire_4
r_bm_ire-s_bm_tre
r_bm_ire-s_bm_tre_4
e_bm_tre-s_bm_ire
e_bm_tre-s_bm_ire_4
e_bm_tre-s_bm_tre
e_bm_tre-s_bm_tre_4
r_bm_tre-s_bm_ire
r_bm_tre-s_bm_ire_4
r_bm_tre-s_bm_tre
r_bm_tre-s_bm_tre_4
r_bm_iri-s_bm_ire
r_bm_iri-s_bm_ire_4
r_bm_iri-s_bm_tre
r_bm_iri-s_bm_tre_4
r_bm_tri-s_bm_ire
r_bm_tri-s_bm_ire_4
r_bm_tri-s_bm_tre
r_bm_tri-s_bm_tre_4"	"0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-
0-"	…	y	
"w_chiral-w_charge
w_chiral-s_charge
w_chiral-s_charge_m
e_chiral-w_charge
e_chiral-s_charge
e_chiral-s_charge_m"	"@-
@-
@-
@-
@-
@-"	…	y	
"w_charge-s_class
e_charge-s_class"	"-:
-:"	…	y	
"w_chiral-s_class
e_chiral-s_class"	"@:
@:"	…	y	
"e_atom_bal-w_chiral
e_atom_bal-s_chiral_m
e_atom_bal-s_chiral"	"a@
a@
a@"	…	y	
"e_atom_bar-w_chiral
e_atom_bar-s_chiral_m
e_atom_bar-s_chiral"	"e@
e@
e@"	…	y	
"w_single_bond-w_atom_oar
e_bm_ibe-w_atom_oar
e_bm_tbe-w_atom_oar
w_double_bond-w_atom_oar
w_single_bond-w_atom_oal
w_single_bond-s_atom_oal
e_bm_ibe-w_atom_oal
e_bm_tbe-w_atom_oal
w_double_bond-w_atom_oal
w_double_bond-s_atom_oal
e_bm_ibe-s_atom_oal
e_bm_tbe-s_atom_oal"	`-b	…	y	
"e_atom_oal-w_atom_oal
e_atom_oal-s_atom_oal"	"lB
lB"	…	y	
"w_atom_oar-s_bm_tbe
w_atom_oar-w_bm_tbi"	"b)
b)"	…	y	
"w_atom_oal-s_bm_tbe
w_atom_oal-w_bm_tbi"	"B)
B)"	…	y	
"e_atom_oal-w_single_bond
e_atom_oal-s_bm_ire
e_atom_oal-s_bm_ire_4
e_atom_oal-s_bm_tre
e_atom_oal-s_bm_tre_4"	"l-
l-
l-
l-
l-"	…	y	
"e_atom_oal-w_bm_ibi
e_atom_oal-s_bm_ibe"	"l(
l("	…	y	
"w_atom_oar-s_bm_iri
w_atom_oar-s_bm_tri"	"b%
b%"	…	y	
"w_atom_oal-w_bm_iri
w_atom_oal-w_bm_tri"	"B0
B0"	…	y	
"w_atom_oal-s_bm_iri
w_atom_oal-s_bm_tri"	"B%
B%"	…	y	
"e_atom_oal-w_bm_iri
e_atom_oal-w_bm_tri"	"l0
l0"	…	y	
"e_atom_oal-w_bm_tbi
e_atom_oal-s_bm_tbe"	"l)
l)"	…	y	
"w_single_bond-w_anything
e_bm_ibe-w_anything
e_bm_tbe-w_anything"	"-*
-*
-*"	…	y	
"e_bm_ire-w_anything
r_bm_ire-w_anything
e_bm_tre-w_anything
r_bm_tre-w_anything
w_bm_iri-w_anything
w_bm_tri-w_anything
r_bm_iri-w_anything
r_bm_tri-w_anything"	"0*
0*
0*
0*
0*
0*
0*
0*"	…	y	
w_double_bond-w_anything	=*	…	y	
w_triple_bond-w_anything	#*	…	y	
w_quadruple_bond-w_anything	$*	…	y	
w_aromatic_bond-w_anything	:*	…	y	
w_no_bond-w_anything	.*	…	y	
w_bm_ibi-w_anything	(*	…	y	
w_bm_tbi-w_anything	)*	…	y	
"w_anything-w_single_bond
w_anything-s_bm_ire
w_anything-s_bm_ire_4
w_anything-s_bm_tre
w_anything-s_bm_tre_4"	"*-
*-
*-
*-
*-"	…	y	
"w_anything-s_bm_ibe
w_anything-w_bm_ibi"	"*(
*("	…	y	
"w_anything-s_bm_tbe
w_anything-w_bm_tbi"	"*)
*)"	…	y	
"w_bm_ibi-s_bm_ibe
w_bm_ibi-w_bm_ibi"	"((
(("	…	y	
"w_bm_iri-s_bm_ibe
w_bm_tri-s_bm_ibe
e_bm_ire-w_bm_ibi
r_bm_ire-w_bm_ibi
e_bm_tre-w_bm_ibi
r_bm_tre-w_bm_ibi
w_bm_iri-w_bm_ibi
w_bm_tri-w_bm_ibi
r_bm_iri-w_bm_ibi
r_bm_tri-w_bm_ibi
e_bm_ire-s_bm_ibe
r_bm_ire-s_bm_ibe
e_bm_tre-s_bm_ibe
r_bm_tre-s_bm_ibe
r_bm_iri-s_bm_ibe
r_bm_tri-s_bm_ibe"	"0(
0(
0(
0(
0(
0(
0(
0(
0(
0(
0(
0(
0(
0(
0(
0("	…	y	
"w_bm_iri-s_bm_tbe
w_bm_tri-s_bm_tbe
e_bm_ire-w_bm_tbi
r_bm_ire-w_bm_tbi
e_bm_tre-w_bm_tbi
r_bm_tre-w_bm_tbi
w_bm_iri-w_bm_tbi
w_bm_tri-w_bm_tbi
r_bm_iri-w_bm_tbi
r_bm_tri-w_bm_tbi
e_bm_ire-s_bm_tbe
r_bm_ire-s_bm_tbe
e_bm_tre-s_bm_tbe
r_bm_tre-s_bm_tbe
r_bm_iri-s_bm_tbe
r_bm_tri-s_bm_tbe"	"0)
0)
0)
0)
0)
0)
0)
0)
0)
0)
0)
0)
0)
0)
0)
0)"	…	y	
"w_bm_tbi-s_bm_ibe
w_bm_tbi-w_bm_ibi"	")(
)("	…	y	
"w_bm_tbi-s_bm_ire
w_bm_tbi-s_bm_ire_4
w_bm_tbi-s_bm_tre
w_bm_tbi-s_bm_tre_4
s_bm_tbe-e_bm_tbe"	")-
)-
)-
)-
)-"	…	y	
"w_bm_tbi-s_bm_tbe
w_bm_tbi-w_bm_tbi"	"))
))"	…	y	
w_anything-w_double_bond	*=	…	y	
w_anything-w_triple_bond	*#	…	y	
w_anything-w_quadruple_bond	*$	…	y	
w_anything-w_aromatic_bond	*:	…	y	
w_anything-w_no_bond	*.	…	y	
"e_bm_ibe-w_bm_ibi
e_bm_tbe-w_bm_ibi
e_bm_ibe-s_bm_ibe
e_bm_tbe-s_bm_ibe"	"-(
-(
-(
-("	…	y	
"w_anything-w_bm_iri
w_anything-w_bm_tri"	"*0
*0"	…	y	
"w_anything-s_bm_iri
w_anything-s_bm_tri"	"*%
*%"	…	y	
"e_bm_ire-w_bm_iri
e_bm_ire-w_bm_tri
r_bm_ire-w_bm_iri
r_bm_ire-w_bm_tri
e_bm_tbe-w_bm_iri
e_bm_tbe-w_bm_tri
e_bm_tre-w_bm_iri
e_bm_tre-w_bm_tri
r_bm_tre-w_bm_iri
r_bm_tre-w_bm_tri
w_bm_iri-w_bm_iri
w_bm_iri-w_bm_tri
w_bm_tri-w_bm_iri
w_bm_tri-w_bm_tri
r_bm_iri-w_bm_iri
r_bm_iri-w_bm_tri
r_bm_tri-w_bm_iri
r_bm_tri-w_bm_tri
s_isotope-r_isotope
s_charge_m-r_charge
s_bm_ire-e_bm_ire
s_bm_tre-e_bm_tre"	"0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"	…	y	
"w_bm_iri-s_bm_iri
w_bm_iri-s_bm_tri
w_bm_tri-s_bm_iri
w_bm_tri-s_bm_tri
s_bm_iri-r_bm_iri
s_bm_tri-r_bm_tri
n_bm_ire-r_bm_ire
n_bm_tre-r_bm_tre
e_bm_ire-s_bm_iri
e_bm_ire-s_bm_tri
r_bm_ire-s_bm_iri
r_bm_ire-s_bm_tri
e_bm_tre-s_bm_iri
e_bm_tre-s_bm_tri
r_bm_tre-s_bm_iri
r_bm_tre-s_bm_tri
r_bm_iri-s_bm_iri
r_bm_iri-s_bm_tri
r_bm_tri-s_bm_iri
r_bm_tri-s_bm_tri"	"0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%"	…	y	
"w_bm_tbi-w_bm_iri
w_bm_tbi-w_bm_tri"	")0
)0"	…	y	
"w_bm_tbi-s_bm_iri
w_bm_tbi-s_bm_tri"	")%
)%"	…	y	
w_anything-w_anything	**	…	y	
s_chiral_m-m_chiral	@A	…	y	
s_hydro-e_hydro	H0	…	y	
s_charge-e_charge	--	…	y	
s_class-r_class	:0	…	y	
s_chiral-e_chiral	@@	…	y	
s_atom_bal-e_atom_bal	Aa	…	y	
s_atom_bar-e_atom_bar	ae	…	y	
s_atom_oal-e_atom_oal	Bl	…	y	
s_bm_ibe-e_bm_ibe	(-	…	y	
"s_bm_ire_4-n_bm_ire
s_bm_tre_4-n_bm_tre
e_bm_tbe-s_bm_iri
e_bm_tbe-s_bm_tri"	"-%
-%
-%
-%"	…	y	
m_chiral-m_chiral	AA	…	y	
m_chiral-r_chiral	A0	…	y	
e_atom_bal-s_class	a:	…	y	
e_atom_bar-s_class	e:	…	y	
"r_chiral-s_class
e_hydro-s_class
r_charge-s_class"	"0:00
0:00
0:00"	…	y	
"e_atom_oal-s_bm_iri
e_atom_oal-s_bm_tri"	"l%
l%"	…	y	
"e_atom_oal-l_ct
e_atom_oal-r_ct"	"l/
l/"	…	y	
"e_bm_ibe-l_ct
e_bm_ibe-r_ct
e_bm_tbe-l_ct
e_bm_tbe-r_ct"	"-/
-/
-/
-/"	C(-\C=C\F)C	y	
"w_isotope-w_atom_bar
r_isotope-w_atom_bar
e_bm_ire-w_atom_oar
r_bm_ire-w_atom_oar
e_bm_tre-w_atom_oar
r_bm_tre-w_atom_oar
w_bm_iri-w_atom_oar
w_bm_tri-w_atom_oar
r_bm_iri-w_atom_oar
r_bm_tri-w_atom_oar"	"0b
0b
0b
0b
0b
0b
0b
0b
0b
0b"	"c1[1b]cccc1
c1[11b]cccc1
p=1ccccc1ccccC
p=%11ccccc%11ccccC
Ic1ccccc=1b2ccccc2F
Ic%11ccccc=%11b2ccccc2F
c1bcccc1
Ic1bcccc1b2ccccc2F
c%11bcccc%11
Ic%11bcccc%11b2ccccc2F"	"y
y
y
y
y
y
y
y
y
y"	
"w_atom_bal-s_class
w_atom_oal-w_aromatic_bond"	"B:
B:"	"BrCc1cccc[B:9]1CF
B:CCCC"	"y
q"	
"w_atom_oal-l_ct
w_atom_oal-r_ct"	"B/
B/"	"CCCB/C=C\F
FCC\C=B/CC"	"y
y"	
"w_bm_ibi-l_ct
w_bm_ibi-r_ct"	"(/
(/"	"FC(/C=C\Br)CC
CCCF/C=C(/Br)=CC"	"y
y"	
"w_bm_tbi-l_ct
w_bm_tbi-r_ct"	")/
)/"	"CC(C)/C=C\I
CC(\BC=C)/C=C\I"	"y
y"	
"s_bracket-w_isotope
s_bracket-s_isotope"	"[0
[0"	"[3H]
[12O]"	"y
y"	
"e_bracket-w_bm_iri
e_bracket-w_bm_tri"	"]0
]0"	"[C]1CCCCC1
C1CCCCC[C]1"	"y
y"	
"w_atom_bar-w_hydro
w_atom_bar-s_hydro"	"bH
bH"	"c1cccc[bH]1C=C[I]
c1cccc[bH9]1C=C[I]"	"y
y"	
"w_atom_bal-w_hydro
w_atom_bal-s_hydro"	"BH
BH"	"c1cccc[BH]1
c1cccc[BH9]1"	"y
y"	
"w_atom_bar-s_class
w_atom_oar-w_aromatic_bond"	"b:
b:"	"BrCc1cccc[b:9]1CF
c1b:cccc1F"	"y
y"	
"w_atom_oal-w_atom_oal
w_atom_oal-s_atom_oal"	"BB
BB"	"CCCCC
CCl"	"y
y"	
"w_anything-w_atom_oal
w_anything-s_atom_oal"	"*B
*B"	"*C
*C"	"y
y"	
"w_triple_bond-w_atom_oal
w_triple_bond-s_atom_oal"	"#B
#B"	"C#B
C#Br"	"y
y"	
"w_quadruple_bond-w_atom_oal
w_quadruple_bond-s_atom_oal"	"$B
$B"	"C$B
C$Br"	"y
y"	
"w_no_bond-w_atom_oal
w_no_bond-s_atom_oal"	".B
.B"	"CCC.B
CCC.Br"	"y
y"	
"w_bm_ibi-w_atom_oal
w_bm_ibi-s_atom_oal"	"(B
(B"	"C(B)CCC
C(Br)CCC"	"y
y"	
"w_bm_tbi-w_atom_oal
w_bm_tbi-s_atom_oal"	")B
)B"	"C(F)BCCC
C(F)BrCCC"	"y
y"	
"w_atom_oar-s_bm_ibe
w_atom_oar-w_bm_ibi"	"b(
b("	"c1b(=O)cccc1F
c1cccb(Cl)cc1"	"y
y"	
"w_atom_oal-s_bm_ibe
w_atom_oal-w_bm_ibi"	"B(
B("	"B(=C)Cl
CCB(I)CC"	"y
y"	
"w_atom_oar-w_bm_iri
w_atom_oar-w_bm_tri"	"b0
b0"	"c1ccccc1CCF
c1ccccc1CCF"	"y
y"	
"w_single_bond-s_bracket
e_bm_ibe-s_bracket
e_bm_tbe-s_bracket"	"-[
-[
-["	"C-[C]CCC
CI(-[C])CC
C(I)-[C]CC"	"y
y
y"	
"w_atom_bar-s_chiral_m
w_atom_bar-w_chiral
w_atom_bar-s_chiral"	"b@
b@
b@"	"c1cccc[b@]1C=C[I]
BrCc1cccc[b@]1CF
BrCc1cccc[b@@]1CF"	"y
y
y"	
"w_atom_bal-s_chiral_m
w_atom_bal-w_chiral
w_atom_bal-s_chiral"	"B@
B@
B@"	"c1cccc[B@]1C=C[I]
BrCc1cccc[B@]1CF
BrCc1cccc[B@@]1CF"	"y
y
y"	
"w_hydro-w_charge
w_hydro-s_charge
w_hydro-s_charge_m"	"H-
H-
H-"	"C[IH-]C
C[IH--]C
C[IH-2]C"	"y
y
y"	
"l_ct-w_atom_oal
r_ct-w_atom_oal
l_ct-s_atom_oal
r_ct-s_atom_oal"	"/B
/B
/B
/B"	"CC/B=C\CC
CC\C=C/BC
CC/Br=C\CC
CC\C=C/BrC"	"y
y
y
y"	
"r_chiral-e_bracket
e_hydro-e_bracket
r_charge-e_bracket
r_class-e_bracket"	"0]
0]
0]
0]"	"Br[As@TB20](Cl)(S)(F)N
[CH0]
[C+10]
[C:100]"	"y
y
y
y"	
"e_bm_ire-s_bracket
r_bm_ire-s_bracket
e_bm_tre-s_bracket
r_bm_tre-s_bracket
w_bm_iri-s_bracket
w_bm_tri-s_bracket
r_bm_iri-s_bracket
r_bm_tri-s_bracket"	"0[
0[
0[
0[
0[
0[
0[
0["	"C=1[F]CCC1
C=%11[F]CCC%11
C1CCCC=1[F]
C%11CCCC=%11[F]
C1[C]CCCC1
C1CCCC1[F]
C%10[F]CCCC%10
C%10CCCC%10[F]"	"y
y
y
y
y
y
y
y"	
"w_atom_bar-w_charge
w_atom_bar-s_charge
w_atom_bar-s_charge_m
w_atom_oar-w_single_bond
w_atom_oar-s_bm_ire
w_atom_oar-s_bm_ire_4
w_atom_oar-s_bm_tre
w_atom_oar-s_bm_tre_4"	"b-
b-
b-
b-
b-
b-
b-
b-"	"BrCc1cccc[b-]1CF
BrCc1cccc[b--]1CF
BrCc1cccc[b-2]1CF
c1b-cccc1F
c1b=2cccc1ccc2
c1b=%12cccc1ccc%12
c1ccccb-1
c%12ccccb-%12"	"y
y
y
y
y
y
y
y"	
"w_atom_bal-w_charge
w_atom_bal-s_charge
w_atom_bal-s_charge_m
w_atom_oal-w_single_bond
w_atom_oal-s_bm_ire
w_atom_oal-s_bm_ire_4
w_atom_oal-s_bm_tre
w_atom_oal-s_bm_tre_4"	"B-
B-
B-
B-
B-
B-
B-
B-"	"C[B-]C
C[B--]C
C[B-2]C
B-C
CB-1CCCC1
CB-%11CCCC%11
C1CCCB-1
C%11CCCB-%11"	"y
y
y
y
y
y
y
y"	
